epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.49562669926635666,0.8330341113105925,0.7770470371094618,0.24318292865465427,0.896551724137931,0.8488867032556353,5e-05,407.09659218788147
2,0.1517384228743011,0.947935368043088,0.9296679276624321,0.20706236182615675,0.9137931034482759,0.8792328698780312,5e-05,426.59525847435
3,0.08213381774395812,0.9748653500897666,0.9661134567008249,0.11281534242604313,0.9482758620689655,0.9315329286384859,5e-05,418.23864936828613
4,0.0691897097291154,0.9712746858168761,0.9596598195260579,0.15533542156155253,0.9482758620689655,0.9309456650249064,5e-05,419.2236475944519
5,0.057107488019475496,0.9784560143626571,0.9693937895463887,0.645265349026384,0.8103448275862069,0.6969489595892491,5e-05,417.8089163303375
